Όνομα Πηγής,Συγγραφέας(είς),Σύνδεσμος,Πηγή,
QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,"Tabish Rashid, Mikayel Samvelyan, Christian Schroeder de Witt, Gregory Farquhar, Jakob Foerster, Shimon Whiteson",https://arxiv.org/pdf/1803.11485,81,
Deep Reinforcement Learning for Autonomous Driving: A Survey,"B Ravi Kiran, Ibrahim Sobh, Victor Talpaert, Patrick Mannion, Ahmad A. Al Sallab, Senthil Yogamani, Patrick Pérez",https://arxiv.org/pdf/2002.00444,78,
Explainable Reinforcement Learning using Interpretable Models,Emmanouil Lykos,https://dione.lib.unipi.gr/xmlui/handle/unipi/16270,82,
Dimensionality reduction for complex event forecasting,Michail Sidiropoulos,https://msc-ai.iit.demokritos.gr/en/thesis/dimensionality-reduction-complex-event-forecasting-0,82,
Automated free speech to SQL transcription,Christina Anna Toliopoulou,https://msc-ai.iit.demokritos.gr/en/thesis/automated-free-speech-sql-transcription,82,
Unsupervised temporal analysis of mouse vocalizations,Christodoulos Bochalis,https://msc-ai.iit.demokritos.gr/en/thesis/unsupervised-temporal-analysis-mouse-vocalizations,82,
Diffusion models in offline reinforcement learning,Christos Kyriazopoulos,https://msc-ai.iit.demokritos.gr/en/thesis/diffusion-models-offline-reinforcement-learning,82,
"Few shot learning: an overview of methods, applications and benchmarks",Christos Georgios Foukanelis,https://msc-ai.iit.demokritos.gr/en/thesis/few-shot-learning-overview-methods-applications-and-benchmarks,82,
Autonomous multi-objective design optimization using Bayesian approaches and active learning,Alexandros Ntagiantas,https://msc-ai.iit.demokritos.gr/en/thesis/autonomous-multi-objective-design-optimization-using-bayesian-approaches-and-active-learning,82,
Physics-informed machine learning methods for nonlinear problems in structural mechanics,Emmanouella Makrymanolaki,https://msc-ai.iit.demokritos.gr/en/thesis/physics-informed-machine-learning-methods-nonlinear-problems-structural-mechanics,82,
Generalizing offline reinforcement learning to unseen dynamics parameters with synthetic data,"Liu, Boxu",https://urn.fi/URN:NBN:fi:aalto-202501271899,83,
Concrete Problems in AI Safety,"Dario Amodei, Chris Olah, Jacob Steinhardt, Paul Christiano, John Schulman, Dan Mané",https://arxiv.org/pdf/1606.06565,84,
Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments,"Ryan Lowe, Yi Wu, Aviv Tamar, Jean Harb, Pieter Abbeel, Igor Mordatch",https://arxiv.org/pdf/1706.02275,85,
Leveraging Procedural Generation to Benchmark Reinforcement Learning,"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",https://proceedings.mlr.press/v119/cobbe20a/cobbe20a.pdf,86,
A Formal Verification Framework for Runtime Assurance,"J Tanner Slagel, Lauren M White, Aaron Dutle, Cesar A Munoz, Nicolas Crespo",main final.pdf,87,
Efficient Uncertainty Quantification in Deep Reinforcement Learning,M.A. Zanger,Efficient_Uncertainty_Quantifi... (pdf),88,
Deep Reinforcement Learning with Double Q-learning,"Hado van Hasselt, Arthur Guez, David Silver",https://arxiv.org/pdf/1509.06461,89,
Enhancing Security in Deep Reinforcement Learning: A Comprehensive Survey on Adversarial Attacks and Defenses,"Wu Yichao, Wang Yirui, Ding Panpan, Wang Hailong, Zhu Bingqian, Liu Chun",https://arxiv.org/pdf/2510.20314,90,
Open-World Learning for Radically Autonomous Agents,Pat Langley,https://ojs.aaai.org/index.php/AAAI/article/download/7078/6932,91,
Decision-making under uncertainty: beyond probabilities,"Thom Badings, Thiago D. Simão, Marnix Suilen, Nils Jansen",https://doi.org/10.1007/s10009-023-00704-3,92,
Gridworld Example (Lectures on Reinforcement Learning),Tansel Yucelen,https://www.youtube.com/watch?v=rXnF0mDqQhE,93,
Towards Safe and Efficient Learning in the Physical World (Stanford Seminar),Stanford Online / Andreas Krause,https://www.youtube.com/watch?v=J84vVp_v10E,94,
Planning and acting in partially observable stochastic domains,"Leslie Pack Kaelbling, Michael L. Littman, Anthony R. Cassandra",https://people.csail.mit.edu/lpk/papers/aij98-pomdp.pdf,95,
OpenSpiel: A Framework for Reinforcement Learning in Games,"Marc Lanctot, Edward Lockhart, Jean-Baptiste Lespiau, Vinicius Zambaldi, Satyaki Upadhyay, Julien Pérolat, Sriram Srinivasan, Finbarr Timbers, Karl Tuyls, Shayegan Omidshafiei, Daniel Hennes, Dustin Morrill, Paul Muller, Timo Ewalds, Ryan Faulkner, János Kramár, Bart De Vylder, Brennan Saeta, James Bradbury, David Ding, Sebastian Borgeaud, Matthew Lai, Julian Schrittwieser, Thomas Anthony, Edward Hughes, Ivo Danihelka, Jonah Ryan-Davis",http://arxiv.org/abs/1908.09453,96,
Behaviour Suite for Reinforcement Learning (bsuite),"Ian Osband, Yotam Doron, Matteo Hessel, John Aslanides, Eren Sezener, Andre Saraiva, Katrina McKinney, Tor Lattimore, Csaba Szepesvari, Satinder Singh, Benjamin Van Roy, Richard Sutton, David Silver, Hado Van Hasselt",github.com/deepmind/bsuite,97,
Πολυπρακτορική ενισχυτική μάθηση με μοντέλα διάχυσης (Multi-agent reinforcement learning with diffusion models),Aris Tsilifonis (Άρης Τσιλιφώνης),https://dione.lib.unipi.gr/xmlui/handle/unipi/18088,98,
Deep Reinforcement Learning at the Edge of the Statistical Precipice,"Rishabh Agarwal, Max Schwarzer, Pablo Samuel Castro, Aaron Courville, Marc G. Bellemare",https://github.com/google-research/rliable,99,
Minigrid & Miniworld: Modular & Customizable Reinforcement Learning Environments for Goal-Oriented Tasks,"Maxime Chevalier-Boisvert, Bolun Dai, Mark Towers, Rodrigo de Lazcano, Lucas Willems, Salem Lahlou, Suman Pal, Pablo Samuel Castro, Jordan Terry",https://github.com/Farama-Foundation/Minigrid,100,
Robust Reinforcement Learning Suite (rrls),"Adil Zouitine, David Bertoin, Emmanuel Rachelson, Pierre Clavier",GitHub - SuReLI/RRLS,101,
Interpretable Operations Research for High-Stakes Decisions: Designing the Greek COVID-19 Testing System,"Bastani, H. Drakopoulos, K. Gupta, V. Vlachogiannis, J. Hadjichristodoulou, C. Lagiou, P. Magiorkinis, G. Paraskevis, D. Tsiodras, S.",https://pergamos.lib.uoa.gr/uoa/dl/object/3344931,102,
Benchmark for Out-of-Distribution Detection in Deep Reinforcement Learning,"Aaqib Parvez Mohammed, Matias Valdenegro-Toro",https://arxiv.org/pdf/2112.02694,103,
Autonomous Driving with Deep Reinforcement Learning in CARLA Simulation,Jumman Hossain,https://arxiv.org/pdf/2306.11217,104,
Artificial Intelligence Risk Management Framework (AI RMF 1.0),National Institute of Standards and Technology (NIST),https://doi.org/10.6028/NIST.AI.100-1,105,
Safe Model-based Reinforcement Learning with Stability Guarantees (NIPS 2017 Spotlight),"Felix Berkenkamp, Matteo Turchetta, Angela Schoellig, Andreas Krause",https://www.youtube.com/watch?v=0h7L7Z_g_gU (link),106,
W3_L1: Bellman equations,IIT Madras - B.S. Degree Programme,https://www.youtube.com/watch?v=U36F_3lS1mE (link),107,
Leveraging Procedural Generation to Benchmark Reinforcement Learning,"Karl Cobbe, Christopher Hesse, Jacob Hilton, John Schulman",https://arxiv.org/pdf/1912.01588,108,
Safe Reinforcement Learning via Shielding under Partial Observability,"Steven Carr, Sebastian Junges, Nils Jansen, Ufuk Topcu",https://arxiv.org/pdf/2204.00755,109,
GitHub - google-deepmind/bsuite: bsuite is a collection of carefully-designed experiments that investigate core capabilities of a reinforcement learning (RL) agent,"Osband, Ian, Doron, Yotam, Hessel, Matteo, Aslanides, John, Sezener, Eren, Saraiva, Andre, McKinney, Katrina, Lattimore, Tor, Szepesvári, Csaba, Singh, Satinder, Van Roy, Benjamin, Sutton, Richard, Silver, David, van Hasselt, Hado",https://github.com/google-deepmind/bsuite,110,
Self-Initiated Open World Learning for Autonomous AI Agents,"Bing Liu, Eric Robertson, Scott Grigsby, Sahisnu Mazumder",https://arxiv.org/pdf/2110.11385,111,
Meta-Gradients in Non-Stationary Environments,"Jelena Luketina, Sebastian Flennerhag, Yannick Schroecker, David Abel, Tom Zahavy, Satinder Singh",https://proceedings.mlr.press/v199/luketina22a/luketina22a.pdf,112,
Reactive Exploration to Cope with Non-Stationarity in Lifelong Reinforcement Learning,"Christian Steinparz, Thomas Schmied, Fabian Paischer, Marius-Constantin Dinu, Vihang Patil, Angela Bitto-Nemling, Hamid Eghbal-zadeh, Sepp Hochreiter",https://proceedings.mlr.press/v199/steinparz22a/steinparz22a.pdf,113,
Safe reinforcement learning for real robots,"Valdivia, Juan Pablo",https://urn.fi/URN:NBN:fi:aalto-202401071329,114,
Unity ML-Agents Toolkit,"Juliani, Arthur; Berges, Vincent-Pierre; Teng, Ervin; Cohen, Andrew; Harper, Jonathan; Elion, Chris; Goy, Chris; Gao, Yuan; Henry, Hunter; Mattar, Marwan; Lange, Danny",https://arxiv.org/pdf/1809.02627.pdf,115,
On the Use and Misuse of Absorbing States in Multi-agent Reinforcement Learning,"Cohen, Andrew; Teng, Ervin; Berges, Vincent-Pierre; Dong, Ruo-Ping; Henry, Hunter; Mattar, Marwan; Zook, Alexander; Ganguly, Sujoy",http://aaai-rlg.mlanctot.info/papers/AAAI22-RLG_paper_32.pdf,115,
Robust Average-Reward Markov Decision Processes,"Yue Wang, Alvaro Velasquez, George Atia, Ashley Prater-Bennette, Shaofeng Zou",https://arxiv.org/pdf/2301.00858,116,
Learning to Recover for Safe Reinforcement Learning,"Haoyu Wang, Xin Yuan, Qinqing Ren",https://arxiv.org/pdf/2309.11907,117,
Simple and Principled Uncertainty Estimation with Deterministic Deep Learning via Distance Awareness,"Jeremiah Zhe Liu, Zi Lin, Shreyas Padhy, Dustin Tran, Tania Bedrax-Weiss, Balaji Lakshminarayanan",https://github.com/google/uncertainty-baselines/tree/master/baselines,118,
GitHub - google-research/rliable: Library for reliable evaluation on RL and ML benchmarks,"Agarwal, Rishabh; Schwarzer, Max; Castro, Pablo Samuel; Courville, Aaron; Bellemare, Marc G",github.com/google-research/rliable,119,
Deep Reinforcement Learning at the Edge of the Statistical Precipice,"Agarwal, Rishabh; Schwarzer, Max; Castro, Pablo Samuel; Courville, Aaron; Bellemare, Marc G",arxiv.org/pdf/2108.13264.pdf,119,
Reward-Free Safe Reinforcement Learning Exploration using Different Entropy Measures,Cheuk Lam Mo,research.tue.nl/files/382817445/Mo_C.pdf,120,
SoK: Adversarial Machine Learning Attacks and Defences in Multi-Agent Reinforcement Learning,Maxwell Standen; Junae Kim; Claudia Szabo,arxiv.org/pdf/2301.04299,121,
Safe Reinforcement Learning with Dead-Ends Avoidance and Recovery,Xiao Zhang; Hai Zhang; Hongtu Zhou; Chang Huang; Di Zhang; Chen Ye; Junqiao Zhao,arxiv.org/pdf/2306.13944,122,
Reinforcement Learning for Non-Stationary Markov Decision Processes: The Blessing of (More) Optimism,Wang Chi Cheung; David Simchi-Levi; Ruihao Zhu,proceedings.mlr.press/v119/cheung20a/cheung20a.pdf,123,
PettingZoo: A standard API for multi-agent reinforcement learning environments,"J. Terry, Benjamin Black, Nathaniel Grammel, Mario Jayakumar, Ananth Hari, Ryan Sullivan, Luis S. Santos, Clemens Dieffendahl, Caroline Horsch, Rodrigo Perez-Vicente, and others",https://github.com/Farama-Foundation/PettingZoo,124,
Safe and Robust Reinforcement Learning: Principles and Practice,"Taku Yamagata, Raúl Santos-Rodŕıguez",https://arxiv.org/pdf/2403.18539,125,
Loss of Plasticity in Continual Deep Reinforcement Learning,"Zaheer Abbas, Rosie Zhao, Joseph Modayil, Adam White, Marlos C. Machado",https://proceedings.mlr.press/v232/abbas23a/abbas23a.pdf,126,
On Calibration of Modern Neural Networks,"Chuan Guo, Geoff Pleiss, Yu Sun, Kilian Q. Weinberger",https://proceedings.mlr.press/v70/guo17a/guo17a.pdf,127,
Εγγενώς Ερμηνεύσιμη Q-Μάθηση,Ιωάννης Κουμέντης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867,128,
Diffusion models in offline reinforcement learning,Χρήστος Κυριαζόπουλος,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Unsupervised temporal analysis of mouse vocalizations,Χριστόδουλος Μπόχαλης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Automated free speech to SQL transcription,Χριστίνα Άννα Τολιοπούλου,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Μείωση διαστάσεων για πρόγνωση σύνθετων γεγονότων,Μιχαήλ Σιδηρόπουλος,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Autonomous multi-objective design optimization using Bayesian approaches and active learning,Αλέξανδρος Νταγιαντάς,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Μέθοδοι μηχανικής μάθησης με ενσωμάτωση φυσικής γνώσης για την επίλυση μη γραμμικών προβλημάτων στη μηχανική,Εμμανουέλλα Μακρυμανωλάκη,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
"Μάθηση με λίγα παραδείγματα: μια επισκόπηση μεθόδων, εφαρμογών και δοκιμαστικών συνόλων",Χρήστος Γεώργιος Φουκανέλης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Διόρθωση πρόγνωσεων σημαντικού ύψους κύματος στη Μεσόγειο θάλασσα με χρήση μοντέλων U-Net και δορυφορικών μετρήσεων,Παύλος Πατσώνης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Δημιουργία chatbot με χρήση γλωσσικών μοντέλων και βαθιάς μάθησης για την απάντηση ερωτήσεων πελατών,Νικόλαος Τζανής,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Συνεργατικές τεχνικές μάθησης σε συστήματα συστάσεων,Γεώργιος Καραγκούνης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Food recognition and calorie estimation using computer vision,Βικτωρία Πολυμεροπούλου,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Προσεγγίσεις βαθιάς μάθησης βασισμένες στις πόζες για την αναγνώριση απομονωμένων συμβόλων στην Ελληνική Νοηματική Γλώσσα,Κωνσταντίνος Σκουρογιάννης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Παραγωγή Μικρών Μορίων Καθοδηγούμενη από τη Βιωσιμότητα μέσω Γενετικών Δικτύων Ροής,Γιάννης Σάββας,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Adversarial attacks and robustness in deep neural networks for sound event detection,Ηλίας Αλεξανδρόπουλος,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Εκτίμηση 6D στάσης αντικειμένων: βιβλιογραφική ανασκόπηση και ανάπτυξη διαδικασίας δημιουργίας μασκών χωρίς μοντέλο,Ορέστης Βαγγέλης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Κατάταξη κοινών πολιτικών σε δυναμικά παιχνίδια χρησιμοποιώντας εξελικτική δυναμική,Ναταλία Κολιού,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Προσαρμογή Θεμελιωδών Μοντέλων Χρονοσειρών σε τομείς με περιορισμένα δεδομένα,Αλέξανδρος Λιαπάτης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Ερμηνεύσιμη βαθιά ενισχυτική μάθηση με ταυτόχρονη μίμηση,Νικόλαος Μακρής,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Βαθιά δημιουργία ηλεκτρονικής μουσικής,Δήμητρα Μανούρα,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
Εφαρμογή τεχνικών μηχανικής μάθησης γράφων για ανίχνευση απάτης συναλλαγών,Γεώργιος Πασχάλης,https://dione.lib.unipi.gr/xmlui/handle/unipi/14867 (link),128,
GitHub - BUAA-TrustworthyMARL/adv_marl_benchmark,BUAA-TrustworthyMARL,https://github.com/BUAA-TrustworthyMARL/adv_marl_benchmark,129,
GitHub - automl/mdp-playground: A python package to design and debug RL agents.,automl,https://github.com/automl/mdp-playground,130,
MDP Playground: A Design and Debug Testbed for Reinforcement Learning,"Raghu Rajan, Jessica Lizeth Borja Diaz, Suresh Guttikonda, Fabio Ferreira, André Biedenkapp, Jan Ole von Hartz, Frank Hutter",https://arxiv.org/abs/1909.07750,130,
Safety in Reinforcement Learning by Leveraging Offline Data,Sergey Levine,https://www.youtube.com/watch?v=L9Y_C18u5tI (link),131,
Robust Markov Decision Processes: A Place Where AI and Formal Methods Meet,"Marnix Suilen, Thom Badings, Eline M. Bovy, David Parker, Nils Jansen",https://arxiv.org/pdf/2411.11451,132,
GitHub - openai/safety-gym: Tools for accelerating safe exploration research. · GitHub,"jachiam, Josh Achiam",https://github.com/openai/safety-gym,133,
Benchmarking Safe Exploration in Deep Reinforcement Learning,"Alex Ray, Joshua Achiam, Dario Amodei",https://arxiv.org/abs/1910.01708 (link),133,
Lyapunov-based Safe Policy Optimization for Continuous Control,"Yinlam Chow, Ofir Nachum, Aleksandra Faust, Edgar Duenez-Guzman, Mohammad Ghavamzadeh",https://arxiv.org/pdf/1901.10031,134,
Realizable Continuous-Space Shields for Safe Reinforcement Learning,"Kyungmin Kim, Davide Corsi, Andoni Rodríguez, JB Lanier, Benjami Parellada, Pierre Baldi, César Sánchez, Roy Fox",https://arxiv.org/pdf/2410.02038,135,
Safe Reinforcement Learning in Constrained Markov Decision Processes,"Akifumi Wachi, Yanan Sui",https://proceedings.mlr.press/v119/wachi20a/wachi20a.pdf,136,
Stanford Seminar - Continual Safety Assurances for Learning-Enabled Robotic Systems,Stanford Online,Stanford Seminar - Continual Safety Assurances for Learning-Enabled Robotic Systems,137,
Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,"Yarin Gal, Zoubin Ghahramani",https://arxiv.org/pdf/1506.02142,138,
Partially Observable Markov Decision Processes (POMDPs) and Robotics,Hanna Kurniawati,https://arxiv.org/pdf/2107.07599,139,
OmniSafe: An Infrastructure for Accelerating Safe Reinforcement Learning Research,"Jiaming Ji, Jiayi Zhou, Borong Zhang, Juntao Dai, Xuehai Pan, Ruiyang Sun, Weidong Huang, Yiran Geng, Mickel Liu, Yaodong Yang",https://www.jmlr.org/papers/volume25/23-0681/23-0681.pdf,140,
GitHub - google-deepmind/ai-safety-gridworlds,google-deepmind,github.com/google-deepmind/ai-safety-gridworlds,141,
Uncertainty-Aware Reinforcement Learning for Flight Control,"M. Homola, E. van Kampen, Y. Li",resolver.tudelft.nl/uuid:1553d8c9-79df-44dd-8c9f-d2eb9f7017b8,142,
Assessing Generalization in Deep Reinforcement Learning,"Charles Packer, Katelyn Gao, Jernej Kos, Philipp Krähenbühl, Vladlen Koltun, Dawn Song",github.com/sunblaze-ucb/rl-generalization,143,
Safety Gymnasium: A Unified Safe Reinforcement Learning Benchmark,"Jiaming Ji, Borong Zhang, Jiayi Zhou, Xuehai Pan, Weidong Huang, Ruiyang Sun, Yiran Geng, Yifan Zhong, Josef Dai, Yaodong Yang",https://openreview.net/forum?id=WZmlxIuIGR,144,
Prioritized Experience Replay,"Tom Schaul, John Quan, Ioannis Antonoglou, David Silver",https://arxiv.org/pdf/1511.05952,145,
A Survey on Deep Reinforcement Learning-based Approaches for Adaptation and Generalization,"Pamul Yadav, Ashutosh Mishra, Junyong Lee, Shiho Kim",https://arxiv.org/pdf/2202.08444,146,
The complexity of non-stationary reinforcement learning,"Binghui Peng, Christos Papadimitriou",https://proceedings.mlr.press/v237/peng24a/peng24a.pdf,147,
Υποκατάστατα μοντέλα βασισμένα στη μηχανική μάθηση για ποσοτικοποίηση αβεβαιοτήτων στην υπολογιστική ρευστοδυναμική,"Bakis, Dionysios; Μπάκης, Διονύσιος",https://dspace.lib.ntua.gr/xmlui/handle/123456789/61114,148,
Frozen Lake - Gymnasium Documentation,Farama Foundation,https://gymnasium.farama.org/environments/toy_text/frozen_lake/,149,
PettingZoo Documentation,Farama Foundation,https://pettingzoo.farama.org/,150,
Safe Reinforcement Learning via Shielding,"Mohammed Alshiekh, Roderick Bloem, Rüdiger Ehlers, Bettina Könighofer, Scott Niekum, Ufuk Topcu",https://arxiv.org/abs/1708.08611,151,
Recovery RL: Safe Reinforcement Learning with Learned Recovery Zones,"Brijen Thananjeyan, Ashwin Balakrishna, Suraj Nair, Michael Luo, Krishnan Srinivasan, Minho Hwang, Joseph E. Gonzalez, Julian Ibarz, Chelsea Finn, Ken Goldberg",https://tinyurl.com/rl-recovery,152,
A Verification Framework for Runtime Assurance of Autonomous UAS,"J Tanner Slagel, Lauren M. White, Aaron Dutle, César A. Muñoz, Nicolas Crespo",https://ntrs.nasa.gov/api/citations/20240007986/downloads/DASC_submit_slagel_v01.pdf,153,
AI Safety as a Reinforcement Learning Problem,Mont (Maitai) και Reggie (link),YouTube Source (link),154,
Continual reinforcement learning in a resource allocation simulator,Antti Kumpumäki,https://urn.fi/URN:NBN:fi:aalto-202108298478,155,
On the Robustness of Safe Reinforcement Learning under Observational Perturbations,"Zuxin Liu, Zijian Guo, Zhepeng Cen, Huan Zhang, Jie Tan, Bo Li, Ding Zhao",https://arxiv.org/abs/2205.14691,156,
What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"Alex Kendall, Yarin Gal",https://arxiv.org/pdf/1703.04977,157,
OpenSpiel: A Framework for Reinforcement Learning in Games,"Marc Lanctot, Edward Lockhart, Jean-Baptiste Lespiau, Vinicius Zambaldi, Satyaki Upadhyay, Julien Pérolat, Sriram Srinivasan, Finbarr Timbers, Karl Tuyls, Shayegan Omidshafiei, Daniel Hennes, Dustin Morrill, Paul Muller, Timo Ewalds, Ryan Faulkner, János Kramár, Bart De Vylder, Brennan Saeta, James Bradbury, David Ding, Sebastian Borgeaud, Matthew Lai, Julian Schrittwieser, Thomas Anthony, Edward Hughes, Ivo Danihelka, Jonah Ryan-Davis",https://arxiv.org/pdf/1908.09453,158,
POMDP Example Domains,Anthony R. Cassandra,POMDP.org,159,
ejs.tar.gz (Sondik's 1971 thesis examples),Ed Sondik,ejs.tar.gz,159,
cheng-examples.tar.gz (1988 thesis examples),Hsien-Te Cheng,cheng-examples.tar.gz,159,
tiger.aaai.POMDP,"Cassandra, Littman and Kaelbling",tiger.aaai.POMDP,159,
1d.POMDP (1D maze),Michael Littman,1d.POMDP,159,
4x3.95.POMDP (4x3 maze),Russell and Norvig,4x3.95.POMDP,159,
cheese.95.POMDP (cheese maze),McCallum,cheese.95.POMDP,159,
shuttle.95.POMDP (shuttle docking),Chrisman,shuttle.95.POMDP,159,
mini-hall2.POMDP / hallway.POMDP.gz,"Littman, Cassandra and Kaelbling",hallway.POMDP.gz,159,
parr95.95.POMDP (SPOVA RL algorithm),Parr and Russell,parr95.95.POMDP,159,
bridge-repair.POMDP.gz,"Hugh Ellis, et al.",bridge-repair.POMDP.gz,159,
cit.POMDP.gz / mit.POMDP.gz / sunysb.POMDP.gz,"Cassandra, Kurien and Kaelbling",cit.POMDP.gz,159,
milos-aaai97.POMDP.gz,Milos Hauskrecht,milos-aaai97.POMDP.gz,159,
marking.POMDP / marking2.POMDP,Tom Dean,marking.POMDP,159,
Procedural Content Generation via Machine Learning (PCGML),"Adam Summerville, Sam Snodgrass, Matthew Guzdial, Christoffer Holmgård, Amy K. Hoover, Aaron Isaksen, Andy Nealen, and Julian Togelius",arXiv:1702.00539,160,
Benchmarking Batch Deep Reinforcement Learning Algorithms,"Scott Fujimoto, Edoardo Conti, Mohammad Ghavamzadeh, Joelle Pineau",arXiv:1910.01708,161,
Reinforcement Learning by Guided Safe Exploration,"Qisong Yang, Thiago D. Simão, Nils Jansen, Simon H. Tindemans and Matthijs T. J. Spaan",arXiv:2307.14316,162,
"Uncertainty Estimation in On-Policy Reinforcement Learning: Estimation, Explanation, Application",Evgenii Bykovetc,Permanent link,163,
Gymnasium: A standard API for single-agent reinforcement learning environments,"Mark Towers, Ariel Kwiatkowski, Jordan Terry, John U Balis, Gianluca De Cola, Tristan Deleu, Manuel Goulao, Andreas Kallinteris, Markus Krimmel, Arjun KG και άλλοι",https://arxiv.org/abs/2407.17032,164,
Robust Control of Markov Decision Processes with Uncertain Transition Matrices,"Arnab Nilim, Laurent El Ghaoui",.pdf,165,
Safe Exploration in Reinforcement Learning: A Generalized Formulation and Algorithms,"Akifumi Wachi, Wataru Hashimoto, Xun Shen, Kazumune Hashimoto",https://arxiv.org/pdf/2310.03225,166,
Safe Continual Reinforcement Learning Methods for Nonstationary Environments. Towards a Survey of the State of the Art,Timofey Tomashevskiy,tomashet@mcmaster.ca,167,
Constrained Policy Optimization,"Joshua Achiam, David Held, Aviv Tamar, Pieter Abbeel",https://proceedings.mlr.press/v70/achiam17a/achiam17a.pdf,168,
Adversarial attacks and robustness in deep neural networks for sound event detection,Ilias Alexandropoulos,https://dione.lib.unipi.gr/xmlui/handle/unipi/17807,169,
QRES-MARL: A Resilience-Based Multi-Agent Reinforcement Learning Framework for Post-Earthquake Recovery of Interdependent Infrastructures,A. Mavrotas,https://resolver.tudelft.nl/uuid:16fb3161-1ec4-4c5d-923e-bce32717e25d,170,
Towards Deep Learning Models Resistant to Adversarial Attacks,"Aleksander Mądry, Aleksandar Makelov, Ludwig Schmidt, Dimitris Tsipras, Adrian Vladu",https://arxiv.org/pdf/1706.06083,171,
AI Safety Gridworlds,"Jan Leike, Miljan Martic, Victoria Krakovna, Pedro A. Ortega, Tom Everitt, Andrew Lefrancq, Laurent Orseau, Shane Legg",https://arxiv.org/pdf/1711.09883,172,
Distributionally Robust Reinforcement Learning,"Elena Smirnova, Elvis Dohmatob, Jeremie Mary",https://arxiv.org/pdf/1902.08708,173,
Deep Reinforcement Learning,Not in source,https://arxiv.org/abs/1810.06339,5,
Reinforcement Learning: An Introduction,Sutton and Barto,Not in source,5,
Predictive uncertainty estimation via prior networks,"Andrey Malinin, Mark Gales",Not in source,7,
Simple and scalable predictive uncertainty estimation using deep ensembles,"Balaji Lakshminarayanan, Alexander Pritzel, Charles Blundell",Not in source,7,
Dropout as a Bayesian approximation: representing model uncertainty in deep learning,"Yarin Gal, Zoubin Ghahramani",Not in source,7,
Evidential deep learning to quantify classification uncertainty,"Murat Sensoy, Lance Kaplan, Melih Kandemir",Not in source,7,
A scalable laplace approximation for neural networks,"Hippolyt Ritter, Aleksandar Botev, David Barber",Not in source,7,
Weight uncertainty in neural network,"Charles Blundell, Julien Cornebise, Koray Kavukcuoglu, Daan Wierstra",Not in source,7,
BatchEnsemble: an alternative approach to efficient ensemble and lifelong learning,"Yeming Wen, Dustin Tran, Jimmy Ba",Not in source,7,
Uncertainty estimation using a single deep deterministic neural network,"Joost Van Amersfoort, Lewis Smith, Yee Whye Teh, Yarin Gal",Not in source,7,
Counterfactual Models for Fair and Adequate Explanations,Not in source,https://www.mdpi.com/2504-4990/4/2/14,10,
Comparison of Text Mining Models for Food and Dietary Constituent Named-Entity Recognition,Not in source,https://www.mdpi.com/2504-4990/4/1/12,10,
Hierarchical Reinforcement Learning: A Survey and Open Research Challenges,Not in source,https://www.mdpi.com/2504-4990/4/1/9,10,
Evaluating Robustness and Resilience in Multi-Agent Reinforcement Learning,Όχι στην πηγή,Not in source,129,
A Survey Analyzing Generalization in Deep Reinforcement Learning,Ezgi Korkmaz,Not in source,174,
Out-of-Distribution Detection for Neurosymbolic Autonomous Cyber Agents,"Ankita Samaddar, Nicholas Potteiger, Xenofon Koutsoukos",Not in source,175,
