Robustness to adversarial perturbations in learning from incomplete data,"A. Najafi, S.-i. Maeda, M. Koyama, T. Miyato",Δεν αναφέρεται στην πηγή,2,,,,,,,,,,,,,,,
Game-Theoretic Multiagent Reinforcement Learning,"Yaodong Yang, Chengdong Ma, Zihan Ding, Stephen McAleer, Chi Jin, Jun Wang, Tuomas Sandholm",https://arxiv.org/pdf/2011.00583,3,,,,,,,,,,,,,,,
Human-level control through deep reinforcement learning,Mnih et al.,Mnih et al. (2015) (link),3,,,,,,,,,,,,,,,
Mastering the game of Go with deep neural networks and tree search,Silver et al.,Silver et al. (2016) (link),3,,,,,,,,,,,,,,,
"Safe, multi-agent, reinforcement learning for autonomous driving",Shalev-Shwartz et al.,Shalev-Shwartz et al. (2016) (link),3,,,,,,,,,,,,,,,
Multi-agent actor-critic for mixed cooperative-competitive environments (MADDPG),Lowe et al.,Lowe et al. (2017) (link),3,,,,,,,,,,,,,,,
QMIX: Monotonic value function factorisation for deep multi-agent reinforcement learning,Rashid et al.,Rashid et al. (2018) (link),3,,,,,,,,,,,,,,,
Deep reinforcement learning from self-play in imperfect-information games (NFSP),Heinrich and Silver,Heinrich and Silver (2016) (link),3,,,,,,,,,,,,,,,
DeepStack: Expert-level artificial intelligence in heads-up no-limit poker,Moravcik et al.,Moravcik et al. (2017) (link),3,,,,,,,,,,,,,,,
Superhuman AI for heads-up no-limit poker: Libratus beats top professionals,Brown and Sandholm,Brown and Sandholm (2018) (link),3,,,,,,,,,,,,,,,
Grandmaster level in StarCraft II using multi-agent reinforcement learning (AlphaStar),Vinyals et al.,Vinyals et al. (2019b) (link),3,,,,,,,,,,,,,,,
Mean Field Multi-Agent Reinforcement Learning,Yang et al.,Yang et al. (2018b) (link),3,,,,,,,,,,,,,,,
Multi-Agent Determinantal Q-Learning (Q-DPP),Yang et al.,Yang et al. (2020) (link),3,,,,,,,,,,,,,,,
Probabilistic Theory of Mean Field Games with Applications I-II,Carmona and Delarue,Carmona et al. (2018) (link),3,,,,,,,,,,,,,,,
Mastering the game of Stratego with model-free multiagent reinforcement learning,Perolat et al.,Perolat et al. (2022) (link),3,,,,,,,,,,,,,,,
A Survey on Self-play Methods in Reinforcement Learning,Zhang et al.,Zhang et al. (2024) (link),3,,,,,,,,,,,,,,,
Deep Reinforcement Learning in Non-stationary Environments (Διδακτορική Διατριβή),Zihe Liu,https://opus.lib.uts.edu.au/bitstream/10453/186408/1/thesis.pdf,4,,,,,,,,,,,,,,,
Deep Reinforcement Learning in Nonstationary Environments with Unknown Change Points,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",DOI: 10.1109/TCYB.2024.3356981 (link),4,,,,,,,,,,,,,,,
A Behavior-Aware Approach for Deep Reinforcement Learning in Non-stationary Environments without Known Change Points,"Zihe Liu, Jie Lu, Guangquan Zhang, Junyu Xuan",DOI: 10.24963/ijcai.2024/512 (link),4,,,,,,,,,,,,,,,
Functional Wasserstein Variational Policy Optimization,"Junyu Xuan, Mengjing Wu, Zihe Liu, Jie Lu",UAI 2024 (link),4,,,,,,,,,,,,,,,
Learning Latent and Changing Dynamics in Real Non-stationary Environments,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",IEEE Transactions on Knowledge and Data Engineering υπό εξέταση (link),4,,,,,,,,,,,,,,,
Functional Detection and Adaptation in Non-stationary Environments,"Zihe Liu, Jie Lu, Junyu Xuan, Guangquan Zhang",IEEE Transactions on Neural Networks and Learning Systems υπό εξέταση (link),4,,,,,,,,,,,,,,,
highway-env: An environment for autonomous driving decision-making,E. Leurent,https://github.com/eleurent/highway-env,4,,,,,,,,,,,,,,,
"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges","Moloud Abdar, Farhad Pourpanah, Sadiq Hussain, Dana Rezazadegan, Li Liu, Mohammad Ghavamzadeh, Paul Fieguth, Xiaochun Cao, Abbas Khosravi, U Rajendra Acharya, Vladimir Makarenkov, Saeid Nahavandi",https://arxiv.org/pdf/2011.06225 (link),5,,,,,,,,,,,,,,,
Calibrating uncertainty models for steering angle estimation,"C. Hubschneider, R. Hutmacher, J. M. Zöllner","IEEE Intelligent Transportation Systems Conference, 2019 (link)",5,,,,,,,,,,,,,,,
Uncertainty-aware reinforcement learning for collision avoidance,"G. Kahn, A. Villaflor, V. Pong, P. Abbeel, S. Levine",arXiv preprint arXiv:1702.01182 (link),5,,,,,,,,,,,,,,,
Evaluating scalable bayesian deep learning methods for robust computer vision,"F. K. Gustafsson, M. Danelljan, T. B. Schön",arXiv preprint arXiv:1906.01620 (link),5,,,,,,,,,,,,,,,
Visual-based autonomous driving deployment from a stochastic and uncertainty-aware perspective,"L. Tai, P. Yun, Y. Chen, C. Liu, H. Ye, M. Liu",arXiv preprint arXiv:1903.00821 (link),5,,,,,,,,,,,,,,,
"Can autonomous vehicles identify, recover from, and adapt to distribution shifts?","A. Filos, P. Tigas, R. McAllister, N. Rhinehart, S. Levine, Y. Gal",arXiv preprint arXiv:2006.14911 (link),5,,,,,,,,,,,,,,,
Model-predictive policy learning with uncertainty regularization for driving in dense traffic,"M. Henaff, A. Canziani, Y. LeCun",arXiv preprint arXiv:1901.02705 (link),5,,,,,,,,,,,,,,,
Bayesian reinforcement learning: A survey,"M. Ghavamzadeh, S. Mannor, J. Pineau, A. Tamar","Foundations and Trends® in Machine Learning, 2015 (link)",5,,,,,,,,,,,,,,,
Deep reinforcement learning in a handful of trials using probabilistic dynamics models,"K. Chua, R. Calandra, R. McAllister, S. Levine","Advances in Neural Information Processing Systems, 2018 (link)",5,,,,,,,,,,,,,,,
Gaussian yolov3: An accurate and fast object detector using localization uncertainty for autonomous driving,"J. Choi, D. Chun, H. Kim, H.-J. Lee","Proceedings of the IEEE International Conference on Computer Vision, 2019 (link)",5,,,,,,,,,,,,,,,
DEEP REINFORCEMENT LEARNING: AN OVERVIEW,Yuxi Li,https://arxiv.org/pdf/1701.07274,6,,,,,,,,,,,,,,,
Deep Reinforcement Learning (Update),Yuxi Li,https://arxiv.org/abs/1810.06339,6,,,,,,,,,,,,,,,
Deep Q-Network (DQN),Mnih et al.,https://deepmind.com/research/dqn/,6,,,,,,,,,,,,,,,
AlphaGo,Silver et al.,goo.gl/lZoQ1d,6,,,,,,,,,,,,,,,
End-to-end Task-completion Neural Dialogue System,Li et al.,http://github.com/MiuLab/TC-Bot,6,,,,,,,,,,,,,,,
Differentiable Neural Computer (DNC),Graves et al.,https://deepmind.com/blog/differentiable-neural-computers/,6,,,,,,,,,,,,,,,
Industrial Benchmark,Hein et al.,https://github.com/siemens/industrialbenchmark,6,,,,,,,,,,,,,,,
Ray RLlib,Liang et al.,http://ray.readthedocs.io/en/latest/rllib.html,6,,,,,,,,,,,,,,,
ΕΦΑΡΜΟΓΗ ΕΡΓΑΛΕΙΩΝ ΤΕΧΝΗΤΗΣ ΝΟΗΜΟΣΥΝΗΣ ΓΙΑ ΑΝΑΠΤΥΞΗ ΠΑΙΓΝΙΟΥ ΚΑΙ ΧΡΗΣΗ ΤΗΣ ΜΗΧΑΝΗΣ UNREAL ΩΣ ΠΕΡΙΒΑΛΛΟΝ ΠΡΟΣΟΜΟΙΩΣΗΣ ΒΑΘΙΑΣ ΕΝΙΣΧΥΤΙΚΗΣ ΜΑΘΗΣΗΣ,ΚΟΥΡΚΟΥΤΑΣ ΔΗΜΗΤΡΙΟΣ,https://ir.lib.uth.gr/xmlui/bitstream/handle/11615/85202/30533.pdf (link),7,,,,,,,,,,,,,,,
Deep Reinforcement Learning inside Unreal Engine (Thesis Chapter 6),ΚΟΥΡΚΟΥΤΑΣ ΔΗΜΗΤΡΙΟΣ,https://ir.lib.uth.gr/xmlui/bitstream/handle/11615/85202/30533.pdf (link),7,,,,,,,,,,,,,,,
OpenAI Five,OpenAI,https://openai.com/research/openai-five (link),7,,,,,,,,,,,,,,,
Stable Audio,Evans et al.,https://stableaudio.com/ (link),7,,,,,,,,,,,,,,,
MindMaker Plugin,Aaron Krumins,https://www.unrealengine.com/marketplace/en-US/product/mindmaker-ai-plugin (link),7,,,,,,,,,,,,,,,
OpenAI API Plugin,Kellan Mythen,https://github.com/KellanM/OpenAI-Api-Unreal (link),7,,,,,,,,,,,,,,,
Gym Documentation,OpenAI,https://www.gymlibrary.dev/ (link),7,,,,,,,,,,,,,,,
Procedural 3D Terrain Generation using Generative Adversarial Networks,E. Panagiotou and E. Charou,https://doi.org/10.48550/arxiv.2010.06411 (link),7,,,,,,,,,,,,,,,
Sloyd - Generate 3D. Fast.,Sloyd,https://www.sloyd.ai/ (link),7,,,,,,,,,,,,,,,
AudioLDM: Text-to-Audio Generation with Latent Diffusion Models,H. Liu et al.,https://arxiv.org/abs/2301.12503 (link),7,,,,,,,,,,,,,,,
gym3: Vectorized interface for reinforcement learning environments,OpenAI,https://github.com/openai/gym3,8,,,,,,,,,,,,,,,
Safe reinforcement learning for real robots (Master's thesis),"Valdivia, Juan Pablo",https://urn.fi/URN:NBN:fi:aalto-202401071329,9,,,,,,,,,,,,,,,
Bayesian Reinforcement Learning: A Survey,"Mohammad Ghavamzadeh, Shie Mannor, Joelle Pineau, Aviv Tamar",https://arxiv.org/pdf/1609.04436,10,,,,,,,,,,,,,,,
A Formal Verification Framework for Runtime Assurance,"J Tanner Slagel, Lauren M White, Aaron Dutle, Cesar A Munoz, Nicolas Crespo",main final.pdf,11,,,,,,,,,,,,,,,
ai-safety-gridworlds,google-deepmind,GitHub Repository,12,,,,,,,,,,,,,,,
MiniGrid Documentation,"Maxime Chevalier-Boisvert, Bolun Dai, Mark Towers, Rodrigo Perez-Vicente, Lucas Willems, Salem Lahlou, Suman Pal, Pablo Samuel Castro, Jordan Terry",Official Documentation,13,,,,,,,,,,,,,,,
A survey of uncertainty in deep neural networks,"Jakob Gawlikowski, Cedrique Rovile Njieutcheu Tassi, Mohsin Ali, Jongseok Lee, Matthias Humt, Jianxiang Feng, Anna Kruspe, Rudolph Triebel, Peter Jung, Ribana Roscher, Muhammad Shahzad, Wen Yang, Richard Bamler, Xiao Xiang Zhu",Springer PDF,14,,,,,,,,,,,,,,,
MDP Playground: A Design and Debug Testbed for Reinforcement Learning,"Raghu Rajan, Jessica Lizeth Borja Diaz, Suresh Guttikonda, Fabio Ferreira, André Biedenkapp, Jan Ole von Hartz, Frank Hutter",https://arxiv.org/abs/1909.07750,15,,,,,,,,,,,,,,,
GitHub - automl/mdp-playground,automl,https://github.com/automl/mdp-playground,15,,,,,,,,,,,,,,,
Reward-Free Safe Reinforcement Learning Exploration using Different Entropy Measures,Cheuk Lam Mo,https://research.tue.nl/en/studentTheses/reward-free-safe-reinforcement-learning-exploration-using-differe/,16,,,,,,,,,,,,,,,
Teaching Transformers to Play Combinatorial Games via Reinforcement Learning,KALOUTSAS ARISTARCHOS,https://pergamos.lib.uoa.gr/uoa/dl/object/5312018,17,,,,,,,,,,,,,,,
The Grand Challenge,Stanford University (Stanley),archive.darpa.mil/grandchallenge05,18,,,,,,,,,,,,,,,
The Urban Challenge,Carnegie Mellon University (Boss),archive.darpa.mil/grandchallenge,18,,,,,,,,,,,,,,,
Continual reinforcement learning in a resource allocation simulator,"Kumpumäki, Antti",https://urn.fi/URN:NBN:fi:aalto-202108298478,19,,,,,,,,,,,,,,,
mdp-playground,"Raghu Rajan, Jessica Lizeth Borja Diaz, Suresh Guttikonda, Fabio Ferreira, André Biedenkapp, Jan Ole von Hartz, Frank Hutter",https://github.com/automl/mdp-playground,20,,,,,,,,,,,,,,,
Distributionally Robust Reinforcement Learning,"Elena Smirnova, Elvis Dohmatob, Jeremie Mary",https://arxiv.org/pdf/1902.08708,21,,,,,,,,,,,,,,,
Distributionally Robust Reinforcement Learning with Interactive Data Collection: Fundamental Hardness and Near-Optimal Algorithms,"Miao Lu, Han Zhong, Tong Zhang, Jose Blanchet",https://arxiv.org/pdf/2404.03578,22,,,,,,,,,,,,,,,
Robust Gymnasium: A Unified Modular Benchmark for Robust Reinforcement Learning,"Shangding Gu, Laixi Shi, Muning Wen, Ming Jin, Eric Mazumdar, Yuejie Chi, Adam Wierman, Costas Spanos",Paper,23,,,,,,,,,,,,,,,
Robust-Gymnasium (GitHub Repository),SafeRL-Lab,GitHub,23,,,,,,,,,,,,,,,
A Survey of Zero-shot Generalisation in Deep Reinforcement Learning,"Robert Kirk, Amy Zhang, Edward Grefenstette, Tim Rocktäschel",Full Text,24,,,,,,,,,,,,,,,
"Towards robust, efficient, and safe reinforcement learning (YouTube Video)",Zuxin Liu / AI Agent Frontier,Video,25,,,,,,,,,,,,,,,
Foundations of Reinforcement Learning (Lecture Series),Chi Jin,YouTube Playlist,26,,,,,,,,,,,,,,,
Explainable reinforcement learning approaches for safe and interpretable autonomous driving,AI Agent Frontier,Video,25,,,,,,,,,,,,,,,
Safe and Reliable Robot Reinforcement Learning in Dynamic Environments,AI Agent Frontier,Video,25,,,,,,,,,,,,,,,
HighwayEnv: A collection of environments for autonomous driving and tactical decision-making tasks,"Edouard Leurent, Jin Huang",https://github.com/Farama-Foundation/HighwayEnv,27,,,,,,,,,,,,,,,
gym_gridworlds: Minimalistic implementation of gridworlds based on Gymnasium,"Simone Parisi, Seth Akins",https://github.com/sparisi/gym_gridworlds,28,,,,,,,,,,,,,,,
Reinforcement learning in nonstationary environments,Ping-Man Choi,https://doi.org/10.14711/thesis-b655883,29,,,,,,,,,,,,,,,
Robust Reinforcement Learning: A Review of Foundations and Recent Advances,"Janosch Moos, Kay Hansel, Hany Abdulsamad, Svenja Stark, Debora Clever, Jan Peters",https://doi.org/10.3390/make4010013,30,,,,,,,,,,,,,,,
Safe Reinforcement Learning in Constrained Markov Decision Processes,"Akifumi Wachi, Yanan Sui",https://proceedings.mlr.press/v119/wachi20a/wachi20a.pdf,31,,,,,,,,,,,,,,,
Επιστημονικά Άρθρα και Μελέτες  \,Source Name \,Author(s) \,Link \,Πηγή \,\,:--- \,:--- \,:--- \,:--- \,\,Gymnasium: A Standard Interface for Reinforcement Learning Environments \,"Mark Towers, Ariel Kwiatkowski, Jordan Terry, John U Balis, Gianluca De Cola, Tristan Deleu, Manuel Goulão, Andreas Kallinteris, Markus Krimmel, Arjun KG και άλλοι \",https://arxiv.org/abs/2407.17032 \,32 \,,"Mark Towers, Ariel Kwiatkowski, Jordan Terry, John U Balis, Gianluca De Cola, Tristan Deleu, Manuel Goulão, Andreas Kallinteris, Markus Krimmel, Arjun KG και άλλοι",https://arxiv.org/abs/2407.17032,32
Robust Control of Markov Decision Processes with Uncertain Transition Matrices,"Arnab Nilim, Laurent El Ghaoui",https://people.eecs.berkeley.edu/~elghaoui/Pubs/RobMDP_OR2005.pdf,33,,,,,,,,,,,,,,,
Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,"Yarin Gal, Zoubin Ghahramani",http://arxiv.org/abs/1506.02142,34,,,,,,,,,,,,,,,
Multi-Agent Reinforcement Learning: A Selective Overview of Theories and Algorithms,"Kaiqing Zhang, Zhuoran Yang, Tamer Başar",https://arxiv.org/pdf/1911.10635,35,,,,,,,,,,,,,,,
Αποθετήρια Κώδικα και Βιβλιοθήκες  \,Source Name \,Author(s) \,Link \,Πηγή \,\,:--- \,:--- \,:--- \,:--- \,\,Gymnasium GitHub Repository \,Farama Foundation \,https://github.com/Farama-Foundation/Gymnasium \,32 \,,Farama Foundation,https://github.com/Farama-Foundation/Gymnasium,32
GridWorlds.jl GitHub Repository,JuliaReinforcementLearning,https://github.com/JuliaReinforcementLearning/GridWorlds.jl,36,,,,,,,,,,,,,,,
Ακαδημαϊκές Εργασίες (Θέσεις)  \,Source Name \,Author(s) \,Link \,Πηγή \,\,:--- \,:--- \,:--- \,:--- \,\,ΠΡΟΣΑΡΜΟΓΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΠΕΡΙΡΡΕΟΥΣΑΣ ΝΟΗΜΟΣΥΝΗΣ (AMI) ΜΕΣΩ ΤΕΧΝΙΚΩΝ ΕΝΙΣΧΥΤΙΚΗΣ ΜΑΘΗΣΗΣ (RL) \,Παναγιώτης Παραλάκης \,https://apothesis.eap.gr/archive/item/72506 \,37 \,,Παναγιώτης Παραλάκης,https://apothesis.eap.gr/archive/item/72506,37
Generalizing offline reinforcement learning to unseen dynamics parameters with synthetic data,"Liu, Boxu",https://urn.fi/URN:NBN:fi:aalto-202501271899,38,,,,,,,,,,,,,,,
PettingZoo: A standard API for multi-agent reinforcement learning environments,"Terry, J., Black, B., Grammel, N., Jayakumar, M., Hari, A., Sullivan, R., Santos, L. S., Dieffendahl, C., Horsch, C., Perez-Vicente, R., και άλλοι",https://pettingzoo.farama.org,39,,,,,,,,,,,,,,,
Value-Function Approximations for Partially Observable Markov Decision Processes,"Hauskrecht, Milos",https://arxiv.org/pdf/1106.0234 (link),40,,,,,,,,,,,,,,,
Human-in-the-Loop Synthesis for Partially Observable Markov Decision Processes,"Carr, S., Jansen, N., Wimmer, R., Fu, J., Topcu, U.",https://arxiv.org/pdf/1802.09810 (link),41,,,,,,,,,,,,,,,
Uncertainty-Based Out-of-Distribution Detection in Deep Reinforcement Learning,"Sedlmeier, A., Gabor, T., Phan, T., Belzner, L., Linnhoff-Popien, C.",https://arxiv.org/pdf/1901.02219 (link),42,,,,,,,,,,,,,,,
Safety Gymnasium: A Unified Safe Reinforcement Learning Benchmark,"Jiaming Ji, Borong Zhang, Jiayi Zhou, Xuehai Pan, Weidong Huang, Ruiyang Sun, Yiran Geng, Yifan Zhong, Josef Dai, Yaodong Yang",https://openreview.net/forum?id=WZmlxIuIGR,43,,,,,,,,,,,,,,,
Safety-Gymnasium GitHub Repository,PKU-Alignment,https://github.com/PKU-Alignment/safety-gymnasium,43,,,,,,,,,,,,,,,
CARLA Simulator Documentation,CARLA Team,https://carla.readthedocs.io/,44,,,,,,,,,,,,,,,
"AI Safety Gridworlds (Extended, multi-agent, and multi-objective)",Roland Pihlakas (based on Google DeepMind),https://github.com/biological-alignment-benchmarks/ai-safety-gridworlds,45,,,,,,,,,,,,,,,
Uncertainty-Aware Reinforcement Learning for Flight Control,M. Homola,https://resolver.tudelft.nl/uuid:1553d8c9-79df-44dd-8c9f-d2eb9f7017b8,46,,,,,,,,,,,,,,,
From Deterministic to Uncertainty-Aware Neural Networks: A From-Scratch Study on MNIST and Fashion-MNIST,Christodoulos Lefkakis,https://pergamos.lib.uoa.gr/uoa/dl/object/5411174/file.pdf,47,,,,,,,,,,,,,,,
Simple and Scalable Predictive Uncertainty Estimation using Deep Ensembles,"Balaji Lakshminarayanan, Alexander Pritzel, Charles Blundell",https://proceedings.neurips.cc/paper_files/paper/2017/file/9ef2ed4b7fd2c810847ffa5fa85bce38-Paper.pdf,48,,,,,,,,,,,,,,,
SARSA-gridworld,Eosandra Grund,https://github.com/egrund/SARSA-gridworld,49,,,,,,,,,,,,,,,
On the Generalization of Representations in Reinforcement Learning,"Charline Le Lan, Stephen Tu, Adam Oberman, Rishabh Agarwal, Marc G. Bellemare",https://arxiv.org/pdf/2203.00543.pdf,50,,,,,,,,,,,,,,,
"Resilience and Resilient Systems of Artificial Intelligence: Taxonomy, Models and Methods","Viacheslav Moskalenko, Vyacheslav Kharchenko, Alona Moskalenko, Borys Kuzikov",https://doi.org/10.3390/a16030165,51,,,,,,,,,,,,,,,
QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,"Tabish Rashid, Mikayel Samvelyan, Christian Schroeder de Witt, Gregory Farquhar, Jakob Foerster, Shimon Whiteson",https://arxiv.org/pdf/1803.11485,52,,,,,,,,,,,,,,,
Verification of Autonomous Systems,"Aaron Dutle, J Tanner Slagel, John Siratt",https://ntrs.nasa.gov/api/citations/20250003529/downloads/Verification%20of%20Autonomous%20Systems_2.pdf,53,,,,,,,,,,,,,,,
Ανάπτυξη αυτόνομου οχήματος με ενισχυτική μάθηση σε περιβάλλον προσομοίωσης,Ελευθέριος Δημητρίου,https://dione.lib.unipi.gr/xmlui/handle/unipi/17565,54,,,,,,,,,,,,,,,
Safe Single Agent RL benchmarks,"DeepMind, OpenAI, PKU-Alignment","AI Safety Gridworlds, Safety-Gym, Safety-Gymnasium",55,,,,,,,,,,,,,,,
Safe Multi-Agent RL benchmarks,Shangding Gu,"Safe Multi-Agent Mujoco, Safe Multi-Agent Isaac Gym, Safe Multi-Agent Robosuite",55,,,,,,,,,,,,,,,
Safe-Reinforcement-Learning-Baselines (GitHub Repository),Shangding Gu (chauncygu),chauncygu / Safe-Reinforcement-Learning-Baselines,55,,,,,,,,,,,,,,,
"Safe, Multi-Agent, Reinforcement Learning for Autonomous Driving","Shai Shalev-Shwartz, Shaked Shammah, Amnon Shashua",Paper,55,,,,,,,,,,,,,,,
Autonomous multi-objective design optimization using Bayesian approaches and active learning (Thesis),Alexandros Ntagiantas,Autonomous multi-objective design optimization...,56,,,,,,,,,,,,,,,
Explainable deep reinforcement learning via online mimicking (Thesis),Nikolaos Makris,Explainable deep reinforcement learning...,56,,,,,,,,,,,,,,,
Diffusion models in offline reinforcement learning (Thesis),Christos Kyriazopoulos,Diffusion models in offline reinforcement learning,56,,,,,,,,,,,,,,,
Multi-agent reinforcement learning with diffusion models (Thesis),Aris Tsilifonis,Multi-agent reinforcement learning with diffusion models,56,,,,,,,,,,,,,,,
Εκτός σύνδεσης ενισχυτική μάθηση (Offline reinforcement learning),"Βασιλόπουλος, Βασίλειος Ι.",http://hdl.handle.net/11615/55221,57,,,,,,,,,,,,,,,
Ενισχυτική μάθηση - Ms Pacman,"Αθανασοπούλου, Ζωή Ιωάννα",https://dione.lib.unipi.gr/xmlui/handle/unipi/17121,58,,,,,,,,,,,,,,,
Continual reinforcement learning in a resource allocation simulator,Antti Kumpumäki,https://urn.fi/URN:NBN:fi:aalto-202108298478,59,,,,,,,,,,,,,,,
Robust Reinforcement Learning using Offline Data,"Kishan Panaganti, Zaiyan Xu, Dileep Kalathil, Mohammad Ghavamzadeh",https://arxiv.org/abs/2208.05129,60,,,,,,,,,,,,,,,
GitHub - zaiyan-x/RFQI: Implementation of Robust Reinforcement Learning using Offline Data NeurIPS'22,Zaiyan Xu,https://github.com/zaiyan-x/RFQI,60,,,,,,,,,,,,,,,
Towards Safe and Efficient Learning in the Physical World (Stanford Seminar),Stanford Online,https://www.youtube.com/watch?v=StanfordSeminar (link),61,,,,,,,,,,,,,,,
Implementing the Deep Q-Network,"Melrose Roderick, James MacGlashan, Stefanie Tellex",https://arxiv.org/pdf/1711.07478,62,,,,,,,,,,,,,,,
Μια Εισαγωγή στην Ενισχυτική Μάθηση,Καπετανάκης Βασίλειος,Δεν αναφέρεται στην πηγή,63,,,,,,,,,,,,,,,
Πάρκινγκ αυτόνομου οχήματος με χρήση αλγορίθμων βαθιάς ενισχυτικής μάθησης,Ζωή Κόρδα,https://dspace.lib.ntua.gr/xmlui/handle/123456789/55773,64,,,,,,,,,,,,,,,
Know what it does not know: Improving Offline Deep Reinforcement Learning with Uncertainty Estimation,J. Smit,https://resolver.tudelft.nl/uuid:b1fcafbe-172a-40f7-8c2a-39b75986d992,65,,,,,,,,,,,,,,,
PEBL: An open source version of the code used in the thesis,J. Smit,https://github.com/j0rd1smit/PEBL,65,,,,,,,,,,,,,,,
Safe Reinforcement Learning in the Presence of Non-stationarity: Theory and Algorithms (Video),Yahodi (AI Agent Frontier channel),https://www.youtube.com/watch?v=... (link),66,,,,,,,,,,,,,,,
Behaviour Suite for Reinforcement Learning (bsuite),"Ian Osband, Yotam Doron, Matteo Hessel, John Aslanides, et al.",github.com/deepmind/bsuite,67,,,,,,,,,,,,,,,
Recommendations on Evidence and Process for Certification of Learning-enabled Components in Aerospace Systems,"Adrian Agogino, Guillaume Brat, Yuning He, Daniel Hulse, et al.",https://ntrs.nasa.gov/api/citations/20240006865/downloads/sws-tc4-2024milestone.pdf,68,,,,,,,,,,,,,,,
Μηχανική και ενισχυτική μάθηση μέσω του αλγορίθμου Q-learning,"Μπάτσιος, Ιωάννης",http://hdl.handle.net/11615/55357,69,,,,,,,,,,,,,,,
