Όνομα Πηγής,Συγγραφέας/είς,Σύνδεσμος,Πηγή,,
Distributed Policy Iteration for Scalable Approximation of Cooperative Multi-Agent Policies,"Thomy Phan, Kyrill Schmid, Lenz Belzner, Thomas Gabor, Sebastian Feld, Claudia Linnhoff-Popien",https://ifaamas.org/Proceedings/aamas2019/pdfs/p2162.pdf,11,,
VAST: Value Function Factorization with Variable Agent Sub-Teams,"Thomy Phan, Fabian Ritz, Lenz Belzner, Philipp Altmann, Thomas Gabor, Claudia Linnhoff-Popien",https://proceedings.neurips.cc/paper/2021/hash/c97e7a5153badb6576d8939469f58336-Abstract.html,11,,
Learning and Testing Resilience in Cooperative Multi-Agent Systems,"Thomy Phan, Thomas Gabor, Andreas Sedlmeier, Fabian Ritz, Bernhard Kempter, Cornel Klein, Horst Sauer, Reiner Schmid, Jan Wieghardt, Marc Zeller, Claudia Linnhoff-Popien",https://ifaamas.org/Proceedings/aamas2020/pdfs/p1055.pdf,11,,
Resilient Multi-Agent Reinforcement Learning with Adversarial Value Decomposition,"Thomy Phan, Lenz Belzner, Thomas Gabor, Andreas Sedlmeier, Fabian Ritz, Claudia Linnhoff-Popien",https://ojs.aaai.org/index.php/AAAI/article/view/17348,11,,
Memory Bounded Open-Loop Planning in Large POMDPs using Thompson Sampling,"Thomy Phan, Lenz Belzner, Marie Kiermeier, Markus Friedrich, Kyrill Schmid, Claudia Linnhoff-Popien",https://ojs.aaai.org/index.php/AAAI/article/view/4794,11,,
Adaptive Thompson Sampling Stacks for Memory Bounded Open-Loop Planning,"Thomy Phan, Thomas Gabor, Robert Müller, Christoph Roch, Claudia Linnhoff-Popien",https://www.ijcai.org/proceedings/2019/778,11,,
Attention-Based Recurrence for Multi-Agent Reinforcement Learning under Stochastic Partial Observability,"Thomy Phan, Fabian Ritz, Philipp Altmann, Maximilian Zorn Zorn, Jonas Nüßlein, Michael Kölle, Thomas Gabor, Claudia Linnhoff-Popien",Δεν υπάρχει στην πηγή,11,,
Emergent Escape-Based Flocking Behavior using Multi-Agent Reinforcement Learning,"Carsten Hahn, Thomy Phan, Thomas Gabor, Lenz Belzner, Claudia Linnhoff-Popien",https://direct.mit.edu/isal/proceedings/isal2019/31/598/99238,11,,
A Distributed Policy Iteration Scheme for Cooperative Multi-Agent Policy Approximation,"Thomy Phan, Lenz Belzner, Kyrill Schmid, Thomas Gabor, Fabian Ritz, Sebastian Feld, Claudia Linnhoff-Popien",https://ala2020.vub.ac.be/papers/ALA2020_paper_36.pdf,12,,
Meta-Learning and Meta-Reinforcement Learning - Tracing the Path towards DeepMind’s Adaptive Agent,"Björn Hoppmann, Christoph Scholz",https://arxiv.org/pdf/2602.19837,13,,
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks (MAML),"Chelsea Finn, Pieter Abbeel, Sergey Levine",Δεν αναφέρεται στην πηγή,13,,
RL2: Fast Reinforcement Learning via Slow Reinforcement Learning,"Yan Duan, John Schulman, Xi Chen, κ.ά.",Δεν αναφέρεται στην πηγή,13,,
VariBAD: A Very Good Method for Bayes-Adaptive Deep RL via Meta-Learning,"Luisa Zintgraf, Kyriacos Shiarlis, Maximilian Igl, κ.ά.",Δεν αναφέρεται στην πηγή,13,,
Transformers are Meta-Reinforcement Learners (TrMRL),Luckeciano C. Melo,Δεν αναφέρεται στην πηγή,13,,
Human-Timescale Adaptation in an Open-Ended Task Space (Adaptive Agent/ADA),Adaptive Agent Team (DeepMind),Δεν αναφέρεται στην πηγή,13,,
Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables (PEARL),"Kate Rakelly, Aurick Zhou, Deirdre Quillen, κ.ά.",Δεν αναφέρεται στην πηγή,13,,
A Generalist Agent (GATO),"Scott Reed, Konrad Zolna, Emilio Parisotto, κ.ά.",Δεν αναφέρεται στην πηγή,13,,
AMAGO: Scalable In-Context Reinforcement Learning for Adaptive Agents,"Jake Grigsby, Linxi Fan, Yuke Zhu",Δεν αναφέρεται στην πηγή,13,,
"Large Language Model Agent: A Survey on Methodology, Applications and Challenges","Junyu Luo, Weizhi Zhang, Ye Yuan, Yusheng Zhao, Junwei Yang, Yiyang Gu, Bohan Wu, Binqi Chen, Ziyue Qiao, Qingqing Long, Rongcheng Tu, Xiao Luo, Wei Ju, Zhiping Xiao, Yifan Wang, Meng Xiao, Chenwu Liu, Jingyang Yuan, Shichang Zhang, Yiqiao Jin, Fan Zhang, Xian Wu, Hanqing Zhao, Dacheng Tao, Philip S. Yu, Ming Zhang",https://arxiv.org/pdf/2503.21460,14,,
Awesome-Agent-Papers Collection,Junyu Luo,https://github.com/luo-junyu/Awesome-Agent-Papers,14,,
Rise of agentic AI: How trust is the key to human-AI collaboration,"Anne-Laure Thibaud, Sergey Patsko, Pascal Brier, Itziar Goicoechea-Martinez, Marjolein Wenderich, Steve Jones, Robert Engels, Daniela Rittmeier",Rise of agentic AI,15,,
Operator,OpenAI,OpenAI (link),15,,
Devin,Cognition,Devin (link),15,,
Manus,Manus,Manus (link),15,,
Measuring AI Ability to Complete Long Tasks,Arxiv,Arxiv (link),15,,
Artificial Intelligence Index Report 2025,Stanford University HAI,Stanford HAI (link),15,,
"Gen AI: Too much spend, too little benefit?",Goldman Sachs,Goldman Sachs (link),15,,
The global impact of artificial intelligence on the economy and jobs,IDC,IDC (link),15,,
Generative AI in organizations,Capgemini Research Institute,Capgemini (link),15,,
Talk to your network: Igniting the AI revolution in autonomous networks,Ericsson,Ericsson (link),15,,
Siemens introduces AI agents for industrial automation,Siemens,Siemens (link),15,,
Google Cloud’s Automotive AI Agent arrives for Mercedes-Benz,Google Cloud,Google Cloud Blog (link),15,,
NVIDIA Partners With Novo Nordisk and DCAI to Advance Drug Discovery,NVIDIA,NVIDIA (link),15,,
GitHub Introduces Coding Agent For GitHub Copilot,GitHub,GitHub (link),15,,
Driven Out By AI: How Uber Deactivations Force Drivers into Chatbot Hell,ACRE Campaigns,ACRE Campaigns (link),15,,
Safe Learning in Robotics: From Learning-Based Control to Safe Reinforcement Learning,"Lukas Brunke, Melissa Greeff, Adam W. Hall, Zhaocong Yuan, Siqi Zhou, Jacopo Panerati, Angela P. Schoellig",https://arxiv.org/pdf/2108.06266,16,,
Safe control benchmark suite on GitHub,Dynamic Systems Lab (DSL) / University of Toronto Robotics Institute,https://github.com/utiasDSL/safe-control-gym,16,,
Robust Deep Reinforcement Learning against Adversarial Perturbations on State Observations,"Huan Zhang, Hongge Chen, Chaowei Xiao, Bo Li, Mingyan Liu, Duane Boning, Cho-Jui Hsieh",https://arxiv.org/pdf/2003.08938,17,,
Adversarial attacks on neural network policies,"S. Huang, N. Papernot, I. Goodfellow, Y. Duan, P. Abbeel",https://arxiv.org/abs/1702.02284 (link),17,,
Tactics of adversarial attack on deep reinforcement learning agents,"Y.-C. Lin, Z.-W. Hong, Y.-H. Liao, M.-L. Shih, M.-Y. Liu, M. Sun",https://arxiv.org/abs/1703.06748 (link),17,,
Delving into adversarial attacks on deep policies,"J. Kos, D. Song",https://arxiv.org/abs/1705.06452 (link),17,,
Robust deep reinforcement learning with adversarial attacks,"A. Pattanaik, Z. Tang, S. Liu, G. Bommannan, G. Chowdhary",https://dl.acm.org/doi/10.5555/3237383.3238112 (link),17,,
Vulnerability of deep reinforcement learning to policy induction attacks,"V. Behzadan, A. Munir",https://arxiv.org/abs/1701.03309 (link),17,,
Online robustness training for deep reinforcement learning,"M. Fischer, M. Mirman, M. Vechev",https://arxiv.org/abs/1911.00887 (link),17,,
"Whatever does not kill deep reinforcement learning, makes it stronger","V. Behzadan, A. Munir",https://arxiv.org/abs/1712.09344 (link),17,,
Provable defenses against adversarial examples via the convex outer adversarial polytope,"E. Wong, Z. Kolter",https://arxiv.org/abs/1711.00851 (link),17,,
Automatic perturbation analysis on general computational graphs,"K. Xu, Z. Shi, H. Zhang, M. Huang, K.-W. Chang, B. Kailkhura, X. Lin, C.-J. Hsieh",https://arxiv.org/abs/2002.12920 (link),17,,
Efficient Policy Optimization in Robust Constrained MDPs with Iteration Complexity Guarantees - NIPS,"Sourav Ganguly, Kishan Panaganti, Arnob Ghosh, Adam Wierman",https://github.com/Sourav1429/RCAC_NPG.git,18,,
Offline Policy Evaluation and Optimization under Confounding,"Chinmaya Kausik, Yangyi Lu, Kevin Tan, Maggie Makar, Yixin Wang, Ambuj Tewari",https://github.com/hetankevin/off-policy,19,,
Towards Optimal Offline Reinforcement Learning (arXiv:2503.12283v1),"Mengmeng Li, Daniel Kuhn, Tobias Sutter",https://arxiv.org/abs/2503.12283v1 (link),20,,
Rectified Robust Policy Optimization for Model-Uncertain Constrained Reinforcement Learning without Strong Duality,"Shaocong Ma, Ziyi Chen, Yi Zhou, Heng Huang",https://openreview.net/forum?id=7l63xwAgAW,21,,
Reinforcement Learning with Numpy ONLY: Solving an Arbitrary 2D Grid World!,Kamila Zdybał,https://www.youtube.com/watch?v=KamilaZdybal (link),22,,
POLICY GRADIENT ALGORITHMS FOR ROBUST MDPS WITH NON-RECTANGULAR UNCERTAINTY SETS,"MENGMENG LI, DANIEL KUHN, AND TOBIAS SUTTER",https://arxiv.org/pdf/2305.19004,23,,
Robust Reinforcement Learning,"Jun Morimoto, Kenji Doya",https://proceedings.nips.cc/paper_files/paper/2000/file/e8dfff4676a47048d6f0c4ef899593dd-Paper.pdf,24,,
EFFICIENT ACTION ROBUST REINFORCEMENT LEARNING WITH PROBABILISTIC POLICY EXECUTION UNCERTAINTY,"Guanlin Liu, Zhihan Zhou, Han Liu, Lifeng Lai",https://arxiv.org/pdf/2307.07666,25,,
The Rise of AI Agents: Unleashing Productivity and Innovation,Oracle Fusion AI,https://www.oracle.com/ae/a/ocom/docs/applications/the-rise-of-ai-agents-unleashing-productivity-and-innovation-ae.pdf,26,,
Build resilient generative AI agents \,AWS Architecture Blog,"Yiwen Zhang, Hechmi Khelifi, and Jennifer Moran",https://aws.amazon.com/blogs/architecture/build-resilient-generative-ai-agents/,27,
Online Policy Optimization for Robust Markov Decision Process,"Jing Dong, Jingwei Li, Baoxiang Wang, Jingzhao Zhang",https://raw.githubusercontent.com/mlresearch/v244/main/assets/dong24a/dong24a.pdf,28,,
Create Custom Grid World Environments - MATLAB & Simulink,MathWorks,https://www.mathworks.com/help/reinforcement-learning/ug/create-custom-grid-world-environments.html,29,,
Online Policy Optimization for Robust Markov Decision Process,"Jing Dong, Jingwei Li, Baoxiang Wang, Jingzhao Zhang",https://github.com/rlberry-py/rlberry,30,,
Safe Learning in Robotics by Prof. Angela Schoellig,Angela Schoellig,https://www.youtube.com/user/LSROB-Lab (link),31,,
Reward-Preserving Attacks For Robust Reinforcement Learning,"Lucas Schott, Elies Gherbi, Hatem Hajri, Sylvain Lamprier",https://arxiv.org/abs/2403.00420 (link),32,,
Rise of agentic AI: How trust is the key to human-AI collaboration (Report),Capgemini Research Institute,https://www.capgemini.com/wp-content/uploads/2026/02/AI-Agents_web_160226-1.pdf,33,,
Rise of agentic AI (Infographic),Capgemini Research Institute,https://www.capgemini.com/wp-content/uploads/2025/07/CRI_Agentic-AI_Infographic_V06.pdf,33,,
Generative AI in organizations 2024,Capgemini Research Institute,https://www.capgemini.com/insights/research-library/generative-ai-in-organizations-2024/,33,,
AI and Gen AI in business operations,Capgemini Research Institute,https://www.capgemini.com/insights/research-library/ai-and-gen-ai-in-business-operations/,33,,
Top tech trends 2025,Capgemini Research Institute,https://www.capgemini.com/insights/research-library/top-tech-trends-2025/,33,,
A Safe Reinforcement Learning Approach for Energy Efficient Federated Learning in Wireless Communication Networks,Petropouleas Nikolaos,https://pergamos.lib.uoa.gr/uoa/dl/object/3338320,34,,
Multi-model Partially Observable Markov Decision Processes,"Weiyu Li, Brian T. Denton",Δεν υπάρχει στην πηγή,35,,
A practical guide to building agents,OpenAI,https://cdn.openai.com/business-guides-and-resources/a-practical-guide-to-building-agents.pdf,36,,
AI Agents Fundamentals In 21 Minutes,Tina Huang,https://www.youtube.com/watch?v=AI_Agents_Fundamentals_Tina_Huang (link),37,,
CoReaAgents: A Collaboration and Reasoning Framework Based on LLM-Powered Agents for Complex Reasoning Tasks,"Han, Z., Wang, J., Yan, X., Jiang, Z., Zhang, Y., Liu, S., Gong, Q., & Song, C.",https://doi.org/10.3390/app15105663,38,,
Google's 9-hour prompt engineering course,Google,Δεν αναφέρεται στην πηγή,37,,
Free prompt engineering Quickstar guide,Tina Huang & HubSpot,Δεν αναφέρεται στην πηγή,37,,
Multi-agent design patterns course,crewAI & DeepLearning.AI,Δεν αναφέρεται στην πηγή,37,,
40-minute tutorial on AI assistants,David Ondrej,Δεν αναφέρεται στην πηγή,37,,
Y Combinator video on AI agents,Y Combinator,Δεν αναφέρεται στην πηγή,37,,
Reinforcement Learning basics- Policy Iteration : 4X4 grid world from Sutton & Barto,AI Explorations with Sauradeep,YouTube Link (link),39,,
Online Policy Optimization for Robust MDP,"Jing Dong, Jingwei Li, Baoxiang Wang, Jingzhao Zhang",https://arxiv.org/pdf/2209.13841,40,,
From Zero to Your First AI Agent in 25 Minutes (No Coding),Futurepedia,https://www.youtube.com/watch?v=agent-video (link),41,,
How to Use AI Agents in 2025 (Checklist),HubSpot,Σύνδεσμος στην περιγραφή του βίντεο (link),41,,
AI Agents Guide,HubSpot,Σύνδεσμος στην περιγραφή του βίντεο (link),41,,
Lecture Monte Carlo evaluation and control: A Gridworld Example \,Intro to Markov Chains and RL,Prof Mihai Nica,https://www.youtube.com/watch?v=monte-carlo-video (link),42,
Andrew Ng Explores The Rise Of AI Agents And Agentic Reasoning \,BUILD 2024 Keynote,Andrew Ng,[Andrew Ng Explores The Rise Of AI Agents And Agentic Reasoning \,BUILD 2024 Keynote](https://www.youtube.com/watch?v=sal78ACtGTc) (link),43
TOWARD THEORETICAL UNDERSTANDINGS OF ROBUST MARKOV DECISION PROCESSES: SAMPLE COMPLEXITY AND ASYMPTOTICS,"Wenhao Yang, Liangyu Zhang, Zhihua Zhang",https://doi.org/10.1214/22-AOS2225,44,,
Υποκατάστατα μοντέλα βασισμένα στη μηχανική μάθηση για ποσοτικοποίηση αβεβαιοτήτων στην υπολογιστική ρευστοδυναμική,Διονύσιος Μπάκης,https://dspace.lib.ntua.gr/xmlui/handle/123456789/61114,45,,
Andrew Ng: State of AI Agents \,LangChain Interrupt,"LangChain, Andrew Ng, Harrison Chase",https://www.youtube.com/watch?v=pBBe149QRI8,46,
ROBUST GYMNASIUM: A UNIFIED MODULAR BENCHMARK FOR ROBUST REINFORCEMENT LEARNING,"Shangding Gu, Laixi Shi, Muning Wen, Ming Jin, Eric Mazumdar, Yuejie Chi, Adam Wierman, Costas Spanos",https://arxiv.org/pdf/2502.19652,47,,
Robust Markov Decision Processes: A Place Where AI and Formal Methods Meet,"Marnix Suilen, Thom Badings, Eline M. Bovy, David Parker, Nils Jansen",Δεν υπάρχει στην πηγή,48,,
Robust Markov Decision Processes (Survey),"W. Ou, S. Bi",Δεν υπάρχει στην πηγή,48,,
NovGrid: A Flexible Grid World for Evaluating Agent Response to Novelty,"Jonathan Balloch, Zhiyu Lin, Mustafa Hussain, Aarun Srinivas, Robert Wright, Xiangyu Peng, Julia Kim, Mark Riedl",https://arxiv.org/pdf/2203.12117,49,,
Reinforcement learning: An introduction,"R. S. Sutton, A. G. Barto",Δεν υπάρχει στην πηγή,49,,
Minimalistic Gridworld Environment for OpenAI Gym,"M. Chevalier-Boisvert, L. Willems, S. Pal",https://github.com/maximecb/gym-minigrid,49,,
Towards a Unifying Framework for Formal Theories of Novelty,"T. Boult, P. Grabowicz, D. Prijatelj, R. Stern, L. Holder, J. Alspector, M. M. Jafarzadeh, T. Ahmad, A. Dhamija, C. Li, κ.ά.",Δεν υπάρχει στην πηγή,49,,
Agents,"Julia Wiesinger, Patrick Marlow, Vladimir Vuskovic",Whitepaper,50,,
Action Robust Reinforcement Learning and Applications in Continuous Control,"Chen Tessler, Yonathan Efroni, Shie Mannor",arXiv PDF,51,,
Context-Switching and Adaptation: Brain-Inspired Mechanisms for Handling Environmental Changes,"Eric Chalmers, Edgar Bermudez Contreras, Brandon Robertson, Artur Luczak, Aaron Gruber",IEEE Paper,52,,
Βίντεο Clip of Princeton Hooding Ceremony 2025,Chi Jin @ Princeton,https://www.youtube.com/watch?v=Bf1K9TcehOg,53,,
Βίντεο Beyond Equilibrium Learning,Chi Jin @ Princeton,https://www.youtube.com/watch?v=D22EY7j3Zh4,53,,
Βίντεο Lecture 22: Foundations of Reinforcement Learning: Partially Observable Reinforcement Learning II,Chi Jin @ Princeton,https://www.youtube.com/watch?v=wQXdPZikag0,53,,
Βίντεο Lecture 21: Foundations of Reinforcement Learning: Partially Observable Reinforcement Learning I,Chi Jin @ Princeton,https://www.youtube.com/watch?v=FA8aS3bDeVw,53,,
Βίντεο Lecture 20: Foundations of Reinforcement Learning: Multiplayer General-Sum Games,Chi Jin @ Princeton,https://www.youtube.com/watch?v=VGBfTDopfIw,53,,
Βίντεο Lecture 19: Foundations of Reinforcement Learning: Two-Player Zero-Sum Games,Chi Jin @ Princeton,https://www.youtube.com/watch?v=_i66yUrMfAs,53,,
Βίντεο Lecture 18: Foundations of Reinforcement Learning: Multiagent Reinforcement Learning,Chi Jin @ Princeton,https://www.youtube.com/watch?v=t1Z2UJJMEak,53,,
Βίντεο Lecture 17: Foundations of Reinforcement Learning: Exploration in General Function Approximation,Chi Jin @ Princeton,https://www.youtube.com/watch?v=Y6IAFtyZse0,53,,
Βίντεο State-Of-The-Art Prompting For AI Agents,"Y Combinator (Jared, Diana, Gary, Harj)",Όχι στην πηγή (link),54,,
Survival of the Fittest: Evolutionary Adaptation of Policies for Environmental Shifts,"Sheryl Paul, Jyotirmoy V. Deshmukh",https://arxiv.org/abs/2410.19852v1,55,,
Safe Reinforcement Learning in the Presence of Non-stationarity: Theory and Algorithms,Yahodi (PhD student at UC Berkeley),https://www.youtube.com/watch?v= (link),56,,
Feasible Adversarial Robust Reinforcement Learning for Underspecified Environments,"JB Lanier, Stephen McAleer, Pierre Baldi, Roy Fox",https://arxiv.org/abs/2207.09597,57,,
AAAI-25 Tutorial Robotic Foundation Models & Remaining Challenges,Yunzhu Li,https://www.youtube.com/watch?v= (link),58,,
RT-1: Robotics Transformer 1,Google DeepMind,Δεν αναφέρεται στην πηγή,58,,
RT-2: Vision-Language-Action Models,Google DeepMind,Δεν αναφέρεται στην πηγή,58,,
OpenVLA,Δεν αναφέρεται στην πηγή,Δεν αναφέρεται στην πηγή,58,,
Pi-0 (π0),Physical Intelligence,Δεν αναφέρεται στην πηγή,58,,
A Bayesian Approach to Robust Reinforcement Learning,"Esther Derman, Daniel Mankowitz, Timothy Mann, Shie Mannor",https://arxiv.org/abs/1806.07185 (link),59,,
AI Safety as a Reinforcement Learning Problem,"M. Bowling, Alyssa, Kevin, Reggie, James",https://www.youtube.com/watch?v=Amii,60,,
Πρωτόκολλα Consensus για πράκτορες με άγνωστες κατευθύνσεις ελέγχου: η περίπτωση της διατήρησης συνοχής με αποφυγή συγκρούσεων,Ευθύμιος Γεωργίου,https://dspace.lib.ntua.gr/xmlui/handle/123456789/47733,61,,
Uncertainty-Aware Reinforcement Learning for Flight Control,M. Homola,https://resolver.tudelft.nl/uuid:1553d8c9-79df-44dd-8c9f-d2eb9f7017b8,62,,
Safe Model-based Reinforcement Learning with Stability Guarantees,"Felix Berkenkamp, Matteo Turchetta, Angela P. Schoellig, Andreas Krause",https://arxiv.org/pdf/1705.08551,63,,
A Bayesian Approach to Robust Reinforcement Learning,"Esther Derman, Daniel Mankowitz, Timothy Mann, Shie Mannor",https://auai.org/uai2019/proceedings/papers/228.pdf,64,,
Agentic AI for Executives: A Guide for Business Leaders,Sagar Ghonge,DOWNLOAD,65,,
AI Safety Gridworlds,"Jan Leike, Miljan Martic, Victoria Krakovna, Pedro A. Ortega, Tom Everitt, Andrew Lefrancq, Laurent Orseau, Shane Legg",https://github.com/deepmind/ai-safety-gridworlds,66,,
ACCELERATE YOUR AI PRODUCT DEVELOPMENT JOURNEY,Konverge AI,Read More,65,,
MODERN DATA STACK,Konverge AI,Read More,65,,
LARGE LANGUAGE MODELS,Konverge AI,Read More,65,,
